split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
train,Categorical EM-MMIL,I,Undetermined,II_III,5,0.013139076617551407,0.03727435714130278
train,Categorical EM-MMIL,I,Epithelial cells,IV,75,0.6640393431849624,0.999999999998
train,Categorical EM-MMIL,I,MAST cells,IV,19,0.46910402709641336,0.9945290442795073
train,Categorical EM-MMIL,I,Fibroblasts,IV,13,0.3596194146007833,0.9960956013931682
train,Categorical EM-MMIL,I,NK cells,IV,58,0.29599632910003093,0.9908020825492501
train,Categorical EM-MMIL,I,Endothelial cells,IV,9,0.23562141689524246,0.9998223754323469
train,Categorical EM-MMIL,I,Myeloid cells,IV,271,0.21267767147155361,0.9999888002565498
train,Categorical EM-MMIL,I,B lymphocytes,IV,298,0.18851772941386805,0.6355600437482419
train,Categorical EM-MMIL,I,T lymphocytes,IV,762,0.1873179543620872,0.7978588118112355
train,Categorical EM-MMIL,I,Undetermined,IV,5,0.033088792771101674,0.0803148988174919
train,Categorical EM-MMIL,II_III,Undetermined,I,2,0.9474391271462766,0.9890599271346316
train,Categorical EM-MMIL,II_III,B lymphocytes,I,57,0.5364939957228626,0.9946049194485801
train,Categorical EM-MMIL,II_III,Myeloid cells,I,122,0.3972877160955051,0.9711460898008744
train,Categorical EM-MMIL,II_III,T lymphocytes,I,226,0.38738702232524,0.9990875154883168
train,Categorical EM-MMIL,II_III,NK cells,I,46,0.30174056211590694,0.9492408474372172
train,Categorical EM-MMIL,II_III,MAST cells,I,13,0.2092765525681258,0.7002579727412477
train,Categorical EM-MMIL,II_III,Endothelial cells,I,3,0.17813219409763267,0.41374511894730504
train,Categorical EM-MMIL,II_III,Epithelial cells,I,70,0.038695724689040006,0.013286635801665725
train,Categorical EM-MMIL,II_III,Fibroblasts,I,34,0.03561658639804794,0.11037620762311202
train,Categorical EM-MMIL,II_III,Oligodendrocytes,I,10,1.1335978243863815e-09,3.331766056919853e-09
train,Categorical EM-MMIL,II_III,Oligodendrocytes,II_III,10,0.9525808208650336,0.9999998927099887
train,Categorical EM-MMIL,II_III,Fibroblasts,II_III,34,0.919720794009459,0.9990841254852227
